Epoch,Train_Loss,Val_Loss,IoU,Dice,Pixel_Accuracy,Precision,Recall,Specificity,FPR,FNR
1,1.3151808367941327,1.1568362301046198,0.8380741281942887,0.9116836537014354,0.9944779840382663,0.8417037703774192,0.9949039394205267,0.9944497054273432,0.005550291456959464,0.0050960586279292
2,1.0950307260773224,1.0601799249649049,0.9040408080274408,0.9495133898474953,0.996948201006109,0.9108530510555614,0.9918892979621887,0.9970791068944064,0.0029208947269415315,0.008110708430070768
3,1.0270128594132846,1.0147868221456355,0.9083936897191134,0.951936965638941,0.997096037864685,0.9113566842946139,0.9964682253924283,0.9971043369986794,0.0028956605163826185,0.0035317652181468227
4,0.9907370269418002,0.9866380073807456,0.947738585688851,0.9731433900919828,0.9984512708403848,0.9651018825444309,0.9814204833724282,0.9989393678578463,0.0010606295831332153,0.018579513918269765
5,0.9691300761245774,0.9701309030706232,0.9353626012802124,0.9665645122528076,0.9980120864781467,0.9397733341563832,0.9950396646152843,0.9980903246185996,0.0019096796231513674,0.004960322020236742
6,0.954503902930296,0.9581201477484269,0.9516451488841664,0.9751922889189286,0.9985545407642018,0.9591807441277937,0.9918125488541343,0.9987425013021989,0.0012574966552413322,0.008187449342486533
7,0.9451181446622035,0.9504308039491827,0.956793364611539,0.9778988458893516,0.9987128864635121,0.965211768583818,0.9909722978418524,0.9989281069148671,0.001071895548904484,0.009027704867449674
8,0.9382287094253815,0.9453378547321666,0.9602772701870311,0.9797193147919395,0.9988328305157748,0.9706297852776268,0.9890068498524752,0.9991073304956609,0.0008926720062101429,0.01099314908073707
9,0.9335229813694237,0.9410743615844033,0.9657801519740712,0.9825762748718262,0.9990103873339566,0.9782069737260992,0.9870048121972518,0.9993516683578492,0.0006483341313221238,0.012995176660743627
10,0.9301297929817307,0.9382124272259799,0.9656040668487549,0.9824771545150063,0.9990212646397677,0.9849520455707204,0.9800422798503529,0.9995537465268916,0.00044625588184730574,0.019957725754515692
11,0.9272498789435637,0.9357634511860934,0.9675610000436956,0.9834987152706492,0.9990661978721619,0.981953793222254,0.9850747812878001,0.9994710011915727,0.0005289947275410999,0.014925215630368752
12,0.9249251820520313,0.9338323007930409,0.9700503663583235,0.9847841739654541,0.999128893288699,0.9809750199317933,0.9886491092768582,0.9994242711500688,0.0005757276730781252,0.011350896294144068
13,0.9233220427451965,0.9324837836352262,0.9680477760054849,0.9837406321005387,0.9990839394656095,0.9764361598274924,0.9912149819460783,0.9993179765614596,0.0006820232692089947,0.008785015911879865
14,0.9218054156981872,0.9316425930369984,0.9653717973015525,0.982361084764654,0.9990205374631015,0.9936983086846092,0.9713043342937123,0.9998184344985268,0.00018156184867786413,0.028695657815445554
15,0.9206504930475193,0.9302412401546132,0.9710120807994496,0.9852787126194347,0.9991796255111695,0.9890998569401828,0.9815031571821733,0.9996831698851152,0.00031683448045937855,0.018496840819716455
16,0.919751661812853,0.9292727687142112,0.9712540225549178,0.9854068073359403,0.9991571458903226,0.9789686809886585,0.9919574564153498,0.9993645776401866,0.000635421164968813,0.008042540282688358
17,0.9189738068647518,0.9287767757068981,0.9613446712493896,0.9802738785743713,0.9988484165885232,0.963384188305248,0.9977995178916238,0.9988739880648526,0.0011260105148804458,0.002200471319850873
18,0.9182436093538701,0.9278626506978815,0.9725473642349243,0.9860713243484497,0.9992086063731801,0.979112236066298,0.9931563128124584,0.9993791049176997,0.0006209022884087807,0.006843688745390285
