Epoch,Train_Loss,Val_Loss,IoU,Dice,Pixel_Accuracy,Precision,Recall,Specificity,FPR,FNR
1,1.300073031672017,1.153097805109891,0.7781745791435242,0.8734427332878113,0.9978421438824047,0.8379076871004971,0.9228985786437989,0.9982155886563387,0.0017844133184884083,0.07710142120803622
2,1.113921163794034,1.0843303138559515,0.8121501944281838,0.8657703627239574,0.998756737058813,0.8352235826579008,0.8991732163862749,0.9990833401679993,0.0009166620608249849,0.10082679262215441
3,1.0632362764679597,1.0486002618616277,0.9162165316668424,0.9555939891121604,0.9993426810611378,0.9515905434435065,0.9607604178515348,0.9995778679847718,0.00042213943564671687,0.03923957916823301
4,1.0376378173579672,1.02745117707686,0.9323292840610851,0.9648293657736344,0.999401022087444,0.9522027980197559,0.9781197201121937,0.9995536955920132,0.00044630298824896187,0.021880285374142907
5,1.0205435752868652,1.0144034125588157,0.9404826890338551,0.9693033305081454,0.9994423248551109,0.9645300659266385,0.9742105039683255,0.9996689027005976,0.00033110427955927496,0.025789483297954906
6,1.0102922596291215,1.0070384058085355,0.9226038130846891,0.9570790290832519,0.9995263869112189,0.9812391205267472,0.9393774899569425,0.9998463999141346,0.00015359922373053532,0.060622507604685696
7,1.0032103068842917,0.9997532985427163,0.9355366945266723,0.9666543245315552,0.9993861642750826,0.9437191627242348,0.9908488869667054,0.9994562929326838,0.0005437074207954786,0.009151112339036031
8,0.9967175103380589,0.9938571388071233,0.9594148061492226,0.9792191527106545,0.9996452483263882,0.9774285793304444,0.9811674356460571,0.9997896096923135,0.00021038417577404867,0.01883256782100282
9,0.9931241964290519,0.9910874030806801,0.9588371352715925,0.9789559819481589,0.9996206045150757,0.9675264109264721,0.9907224091616544,0.9996912327679721,0.0003087727628140287,0.009277596519413319
10,0.9890465283680535,0.9888891133395108,0.95138615694913,0.9746792229739103,0.9996477788144892,0.9664150357246399,0.9831803766163912,0.9997564142400568,0.0002435842404586517,0.0168196209452369
11,0.9864693643573769,0.9864384293556213,0.9579347577962009,0.9785075794566761,0.9996169805526733,0.9614523670890115,0.9962025198069486,0.9996445569125089,0.0003554449141533537,0.0037974845533343877
12,0.9847292057975738,0.9840443643656644,0.9566325133497064,0.9778152715076099,0.9995919845320962,0.9594212217764421,0.997012548013167,0.999613572250713,0.0003864316592543301,0.0029874584764580836
13,0.983167929854804,0.9824460679834539,0.9691248135133224,0.9843115687370301,0.9997148199514909,0.9755352128635754,0.993290388584137,0.9997739109126005,0.0002260871755424887,0.006709611525928433
14,0.9813612933627112,0.9796940456737172,0.9786028428511186,0.9891767079179937,0.9997959928079085,0.98889719247818,0.9894987984137101,0.9998934973369945,0.00010650160997598009,0.010501210476187142
15,0.9814234089278028,0.9791236335581,0.9726671760732477,0.9861342430114746,0.9997376485304399,0.9760813767259772,0.9964321396567605,0.999770229512995,0.00022977739651899108,0.0035678659396415407
16,0.979848884867284,0.9788635383952747,0.9715583129362626,0.9855600194497542,0.9997314886613325,0.9760103886777705,0.9953296368772333,0.9997694849967956,0.0002305155101401562,0.004670364962128753
17,0.9796571927462407,0.9779340613972057,0.9788999449123036,0.9893301703713157,0.9998046875,0.9917208834127946,0.9869709903543645,0.999922408840873,7.758862656456503e-05,0.013029009848833085
18,0.9791857037611141,0.976848076690327,0.9738074172626842,0.9867130420424721,0.9997441811995073,0.9772655552083795,0.9964014519344676,0.9997738068754023,0.00022619699090930889,0.003598552872426808
19,0.9788330331116257,0.9778934522108598,0.9790944511240179,0.9894313888116316,0.9998101191087203,0.9858496438373219,0.9930521683259443,0.9998741897669705,0.00012581757275091315,0.006947826941243627
20,0.9781453237982695,0.9788712176409635,0.9801462769508362,0.9899542635137385,0.9998423728075895,0.9853732618418607,0.9946069511500272,0.9998826666311784,0.00011733367520553822,0.005393046437000687
