Seed No. per image,Class,Area-SAM(mm2),Length-SAM(mm),Width-SAM(mm),Perimeter-SAM(mm),Area-SAM_taubin(mm2),Length-SAM_taubin(mm),Width-SAM_taubin(mm),Perimeter-SAM_taubin(mm),Area-SAM_minEnc(mm2),Length-SAM_minEnc(mm),Width-SAM_minEnc(mm),Perimeter-SAM_minEnc(mm),centroid-0,centroid-1,bbox-0,bbox-1,bbox-2,bbox-3,Area-SAM(pix),Eccentricity,Equivalent diameter area,Perimeter(pix),solidity,area_convex,extent,Axis Major Length-SAM(pix),Axis Minor Length-SAM(pix),Aspect Ratio,Roundness,Compactness,Circularity-SAM,Shape,Shapefactor1,Shapefactor2,Shapefactor3,Shapefactor4,RGB value of Seed,color_seeds,TGW(g)
0,Faba-Seed-CC_Vf447-1-1,96.04757334803804,11.248159156095989,10.77022560136479,34.61032548774958,94.8208513179592,12.447067918153646,9.756424764376892,37.09070383743937,79.28712173657404,11.381944417855982,8.921545629486994,33.916769175910055,2335.508590297829,2079.0026640292244,2171,1955,2486,2207,62687.0,0.6209714598429322,282.5164903873987,953.6782822743016,0.9938958650431252,63072.0,0.7897077349458301,320.0397167862382,250.85774729994355,1.2757816740001884,0.8661309642428127,0.8827544694276113,1.1545598082551154,"Elongated,Oval,Elongated,Ellipse",0.0051053602307693,0.0040017507186488,0.7792554532944236,0.9941598266777352,"[255, 247, 48]",yellow,519.7415157783449
1,Faba-Seed-CC_Vf447-1-1,90.11192003634184,10.808318587363162,10.496649219917938,33.29138163943827,88.96100832011638,11.960346014933618,9.508600115043786,35.67723675885778,74.38724920147924,10.93687239882058,8.694927890865182,32.62425564335183,2385.54839916345,1416.39855134069,2266,1260,2512,1564,58813.0,0.6065957286930831,273.6476518161797,917.335136523794,0.9940673382462308,59164.0,0.7864382755669662,307.525095585127,244.4856658501798,1.2578450949904671,0.8782681628810227,0.8898384416254262,1.1386044061071905,"Elongated,Oval,Elongated,Ellipse",0.005228862591351,0.0041570004225286,0.7918124521943674,0.9959774091450588,"[247, 239, 40]",yellow,494.91413529460306
2,Faba-Seed-CC_Vf447-1-1,89.88822220890053,10.875485620153334,10.37412605123114,33.39554006738595,88.74016756697104,12.034672187545342,9.397610046550296,35.78885978894307,74.2025869944261,11.004838314249126,8.593435491302996,32.7263268405637,2659.982511463003,2647.6343259413297,2537,2493,2781,2806,58667.0,0.624683632092733,273.3077832242942,920.2051942088827,0.9932448447499408,59066.0,0.7681741999685748,309.4361743539484,241.6318829094653,1.2806098708004026,0.8706315156569102,0.8832444486974276,1.1485915476485806,"Elongated,Oval,Elongated,Ellipse",0.005274450276202,0.0041187018751506,0.7801207561548226,0.9990303407481398,"[255, 255, 41]",yellow,492.1235899699934
3,Faba-Seed-CC_Vf447-1-1,94.99343564064336,11.658822708707634,10.245932739686571,34.515857856062645,93.78017708395925,12.901502911465167,9.281483565483605,36.98946610275338,78.41693270607708,11.797492390230808,8.487246213504118,33.82419458109283,2897.419571283408,849.268859175148,2771,694,3030,1013,61999.0,0.6945845970058806,280.9618809269958,951.0752518939717,0.9934463530316626,62408.0,0.7504024400576125,331.7241751272311,238.6460322371344,1.390025939327615,0.8613205058500637,0.846974390151801,1.161008002489235,"Elongated,Oval,Elongated,Ellipse",0.0053504762194104,0.0038491916359479,0.7173656175730152,0.9971568164082651,"[243, 231, 33]",gold,532.7439692821979
4,Faba-Seed-CC_Vf447-1-1,103.4694382530087,11.352528889026518,11.508256307056373,35.859708187693435,102.14792397711015,12.562562119147572,10.424984673926742,38.42962460891956,85.41385961989856,11.487555521205095,9.532895369083496,35.14111549595174,3153.599591298811,1793.0107061941924,3026,1633,3295,1957,67531.0,0.5579933459853222,293.22881798266394,988.1046891454944,0.9933074456505752,67986.0,0.7748290421772454,323.00931023745096,268.047797640627,1.2050437014614503,0.8691747958651217,0.9078029910874869,1.1505165643979165,"Elongated,Oval,Elongated,Ellipse",0.0047831264195325,0.0039692555661937,0.8241062706273877,0.9930840707544192,"[255, 242, 39]",yellow,548.4987585759375
5,Faba-Seed-CC_Vf447-1-1,111.36781017396736,13.11649004091642,10.653028460854314,37.77478943262282,109.94541769261862,14.514538789984323,9.650259385274186,40.48195177658668,91.933953300439,13.272497173207512,8.824465059830485,37.0178204278477,3595.2483696998047,2416.09180584982,3461,2238,3729,2596,72686.0,0.7469604410192741,304.2148739766352,1040.874241767195,0.993398843772636,73169.0,0.7575877595263903,373.1986451889232,248.12801704668613,1.5040568559362024,0.8430709233214377,0.8151553546573929,1.1861398280233773,"Elongated,Oval,Elongated,Ellipse",0.0051343951405899,0.0034136975077275,0.6644782522266199,0.999413070881953,"[255, 242, 39]",yellow,624.4090159672426
6,Faba-Seed-CC_Vf447-1-1,100.36678002993573,12.05316186364064,10.489568235700643,35.66108212805881,99.08489298314224,13.337873536749068,9.502185663542882,38.21676384414827,82.85262010426435,12.19652180303915,8.689062338356399,34.94646970392263,3769.8535096021737,1517.8029493481513,3633,1355,3906,1679,65506.0,0.7017519805781787,288.79894324152497,982.6316010800756,0.9935689367510996,65930.0,0.740582462804685,342.9441614121946,244.32073710911504,1.4036637473757856,0.8525296483247051,0.8421165184801297,1.172979733860385,"Elongated,Oval,Elongated,Ellipse",0.0052353091535461,0.0037297459333361,0.7091602306970948,0.9954225069101608,"[246, 207, 28]",gold,555.8334607003402
0,Faba-Seed-CC_Vf498-1-1,132.36754213675667,14.663169830119145,11.524608674029226,41.21900917391735,132.7373349604758,14.98002538854898,11.312869360591176,43.74959764122481,126.71505044307756,14.63625956769314,11.05325846400676,42.74561961347428,2596.4322871939003,2893.107515548963,2455,2715,2747,3065,76854.0,0.6554979627652793,312.8155238652267,1052.714862200761,0.9938060077845164,77333.0,0.7519960861056751,360.4534947267861,272.21337685647666,1.3241579046897232,0.871474796052166,0.8678387876425842,1.1474801159253956,"Elongated,Oval,Elongated,Ellipse",0.0046901071476668,0.0035419545743419,0.7531441613369503,0.9972817946052348,"[255, 209, 51]",gold,733.9814626073178
1,Faba-Seed-CC_Vf498-1-1,129.8891169001419,14.550918444890089,11.385488274469608,40.86939718401289,130.25198579181674,14.865348369861174,11.176304992105685,43.37852166935145,124.34246140948676,14.524214189369086,10.919828012922236,42.38305919699968,2772.354571371743,1265.1635085858252,2594,1123,2943,1413,75415.0,0.6593500849440389,309.87313576075337,1043.7859300126263,0.9940815142887272,75864.0,0.7451338800513784,357.69410473386483,268.9273274273895,1.3300771928075714,0.8698507107457547,0.866307640130967,1.1496225589591846,"Elongated,Oval,Elongated,Ellipse",0.0047430100740418,0.0035659660203857,0.750488927349285,0.9982082057219024,"[255, 244, 64]",yellow,720.5162689931342
2,Faba-Seed-CC_Vf498-1-1,136.28238616929693,15.14612261810684,11.473103047232128,42.10892007152993,136.66311582243696,15.47341427439996,11.262310036298976,44.694143482751926,130.4627188748718,15.118326027116504,11.003859389257965,43.66848975231555,3104.404653278906,2049.0251999949446,2962,1871,3253,2236,79127.0,0.6857373737069213,317.4076644573335,1075.4427842621187,0.9932467206426911,79665.0,0.7449701078002166,372.3255539223792,270.99680447696124,1.3739112335327646,0.8597257691808804,0.8525003484544744,1.1631615985557446,"Elongated,Oval,Elongated,Ellipse",0.0047054172902091,0.0034248335520992,0.7267568441150004,0.9984993921764193,"[255, 234, 63]",gold,753.6605186052105
