class,seed_count
Faba-Seed-CC_Vf126-1-1,5
Faba-Seed-CC_Vf360-1-1,8
Faba-Seed-CC_Vf325-3-2,10
Faba-Seed-CC_Vf374-3-1,10
Faba-Seed-CC_Vf411-3-1,10
Faba-Seed-CC_Vf337-3-1,7
Faba-Seed-CC_Vf588-2-1,10
Faba-Seed-CC_Vf627-1-1,10
Faba-Seed-CC_Vf63-1-1,6
Faba-Seed-CC_Vf266-1-1,5
Faba-Seed-CC_Vf462-3-1,10
Faba-Seed-CC_Vf415-3-1,4
Faba-Seed-CC_Vf536-2-1,10
Faba-Seed-CC_Vf225-1-1,3
Faba-Seed-CC_Vf299-3-1,10
Faba-Seed-CC_Vf572-1-1,10
Faba-Seed-CC_Vf593-3-1,10
Faba-Seed-CC_Vf219-3-1,10
Faba-Seed-CC_Vf603-1-1,10
Faba-Seed-CC_Vf227-1-2,10
Faba-Seed-CC_Vf65-1-2,10
Faba-Seed-CC_Vf590-3-1,10
Faba-Seed-CC_Vf193-1-1,10
Faba-Seed-CC_Vf90-1-1,7
Faba-Seed-CC_Vf425-1-1,9
Faba-Seed-CC_Vf143-1-1,10
Faba-Seed-CC_Vf295-1-1,10
Faba-Seed-CC_Vf66-1-1,10
Faba-Seed-CC_Vf151-1-1,10
Faba-Seed-CC_Vf548-1-1,10
Faba-Seed-CC_Vf585-1-1,10
Faba-Seed-CC_Vf150-1-1,10
Faba-Seed-CC_Vf253-1-1,3
Faba-Seed-CC_Vf183-1-2,3
Faba-Seed-CC_Vf469-1-1,9
Faba-Seed-CC_Vf11-1-1,10
Faba-Seed-CC_Vf142-1-1,10
Faba-Seed-CC_Vf630-1-1,5
Faba-Seed-CC_Vf156-1-2,4
Faba-Seed-CC_Vf323-3-1,10
Faba-Seed-CC_Vf440-1-1,6
Faba-Seed-CC_Vf556-1-1,10
Faba-Seed-CC_Vf326-3-1,10
Faba-Seed-CC_Vf280-1-2,8
Faba-Seed-CC_Vf9-1-1,10
Faba-Seed-CC_Vf489-3-1,10
Faba-Seed-CC_Vf97-1-2,6
Faba-Seed-CC_Vf121-1-3,5
Faba-Seed-CC_Vf309-3-1,10
Faba-Seed-CC_Vf452-1-1,10
Faba-Seed-CC_Vf359-1-1,10
Faba-Seed-CC_Vf203-1-1,6
