Area_mm2,Length_mm,Width_mm,Perimeter_mm,Area_pix,Axis_Major_Length_pix,Axis_Minor_Length_pix,Perimeter_pix,Eccentricity,Equivalent_Diameter,Solidity,Convex_Area,Extent,Centroid_Row,Centroid_Col,Aspect_Ratio,Roundness,Circularity_SAM,Shapefactor1,Shapefactor2,Shapefactor3,Shapefactor4,TGW_g,class,seed_id,px_to_mm
128.10519327480156,17.859748704670864,9.137301819908815,43.818212878222916,291.0,26.917732339572904,13.771495263529271,66.04163056034261,0.8592152617385329,19.248706645328987,0.9603960396039604,303.0,0.7994505494505495,102.54639175257732,160.19243986254295,1.9545976543925847,0.8384309048909291,1.1927041264421059,0.09250079841777631,0.047324725991509525,0.5113593095919772,0.9995017070802901,807.7354411836731,Faba-Seed-CC_Vf551-1-1,2,0.6634938069584149
137.7901219759893,16.35110647832543,10.729813565273295,43.59053779787701,313.0,24.643947399120563,16.171686084698898,65.698484809835,0.7545754454911824,19.963065333312567,0.9660493827160493,324.0,0.7671568627450981,110.12140575079871,103.33226837060703,1.5238947423322688,0.9112624907987708,1.0973786478618757,0.07873465622722224,0.0516667287051083,0.6561965003796296,0.9999743968653523,826.3555959665231,Faba-Seed-CC_Vf551-1-1,3,0.6634938069584149
142.63258632658318,14.647907577015063,12.418123789329435,43.04088153109154,324.0,22.076931876974,18.71626179339418,64.8700576850888,0.5303567200187962,20.310825007719227,0.9671641791044776,335.0,0.8120300751879699,126.66666666666667,138.0493827160494,1.1795588307471716,0.967534157133838,1.0335552420829637,0.0681386786326358,0.05776624010306846,0.8464039739654612,0.9983832818704588,834.0622514108686,Faba-Seed-CC_Vf551-1-1,4,0.6634938069584149
122.82250489233552,16.878098027177096,9.277520108104836,42.263550183960184,279.0,25.438214871288086,13.98282849185104,63.698484809834994,0.8353765827709063,18.847647942942654,0.9653979238754326,289.0,0.744,126.23655913978494,59.935483870967744,1.8192467200833549,0.8640838008904365,1.1572951592999454,0.09117639738812934,0.050117664845344224,0.5489604530303229,0.9986945036308874,773.2675226476691,Faba-Seed-CC_Vf551-1-1,5,0.6634938069584149
133.82810568913976,14.388597071556484,11.846094635578533,41.8748845103945,304.0,21.686106065581264,17.854114855846724,63.112698372208094,0.5676102380603122,19.67396303746374,0.9620253164556962,316.0,0.7619047619047619,136.64802631578948,93.13157894736842,1.2146279017847625,0.9590692133445029,1.0426776150104555,0.07133587521572785,0.058730640973180016,0.8230392506002866,0.9996864380431294,786.0980907948501,Faba-Seed-CC_Vf551-1-1,6,0.6634938069584149
141.75213826283883,13.944736335960318,12.973334521623444,42.65221585752587,322.0,21.01713111669529,19.553060458990178,64.2842712474619,0.36670017229366936,20.248040236149336,0.9698795180722891,332.0,0.8070175438596491,147.92857142857142,174.4937888198758,1.0748768030854197,0.9791659120434975,1.021277382821694,0.0652705935301096,0.06072379024531111,0.9281520390424015,0.9976490965031102,823.1293488703709,Faba-Seed-CC_Vf551-1-1,7,0.6634938069584149
127.66496924292939,17.665067734941037,9.220908603556092,43.979203471442695,290.0,26.6243144241559,13.897505156568887,66.2842712474619,0.852954379715043,19.21560480373171,0.9508196721311475,305.0,0.7435897435897436,149.69310344827585,124.6103448275862,1.9157621547326051,0.8294436567829752,1.2056274007550234,0.09180798077295138,0.04792243157437547,0.5208962723179303,0.99791336504798,789.0250981548052,Faba-Seed-CC_Vf551-1-1,8,0.6634938069584149
115.77892038238079,17.61501473890842,8.373282835813125,41.94156899752062,263.0,26.548875896308793,12.619986423381837,63.21320343559642,0.8797972242391029,18.29923496393627,0.9704797047970479,271.0,0.842948717948718,156.41825095057035,62.22433460076046,2.1037166765187667,0.8270847505048144,1.2090659383934308,0.10094629618368363,0.047984739252402424,0.47508748740781814,0.9994494700652266,771.4455195081042,Faba-Seed-CC_Vf551-1-1,9,0.6634938069584149
125.46384908356853,17.522076344631223,9.146259200833297,43.04088153109155,285.0,26.40880165099934,13.78499558686393,64.87005768508881,0.8529547281106146,19.04923279949934,0.9661016949152542,295.0,0.76,169.8140350877193,107.3719298245614,1.9157642441441878,0.8510717122936535,1.1749891173153695,0.09266246193333103,0.04836840556794361,0.5203045085783566,0.9967807736014284,796.641129307959,Faba-Seed-CC_Vf551-1-1,10,0.6634938069584149
46.162781596683736,9.97831666950897,5.874156306298484,24.467145737136775,93.0,14.162919014958506,8.337598695533003,34.72792206135785,0.808357345622789,10.881694613449236,0.9587628865979382,97.0,0.8303571428571429,106.39784946236558,96.21505376344086,1.6986808231183528,0.9690255235473666,1.0319645620264402,0.15228945177374736,0.08965159887669896,0.5903200356353888,1.0027653240363774,443.33321826849044,Faba-Seed-CC_Vf198-1-2,1,0.7045381435119507
