id,area,bbox_x0,bbox_y0,bbox_w,bbox_h,point_input_x,point_input_y,predicted_iou,stability_score,crop_box_x0,crop_box_y0,crop_box_w,crop_box_h
0,13455225,10.0,0.0,3980.0,5941.0,3187.5,1218.75,0.9918608069419861,0.9785266518592834,0.0,0.0,4000.0,6000.0
1,228452,3250.0,4888.0,559.0,518.0,3437.5,4968.75,0.9908943176269531,0.9822728633880615,0.0,0.0,4000.0,6000.0
2,50803,1640.0,3326.0,214.0,310.0,1687.5,3468.75,0.987237811088562,0.9854803681373596,0.0,0.0,4000.0,6000.0
3,50644,381.0,3396.0,276.0,262.0,437.5,3656.25,0.9871852993965149,0.9837439656257629,0.0,0.0,4000.0,6000.0
4,54666,2604.0,3444.0,231.0,315.0,2687.5,3656.25,0.9869722723960876,0.9861065745353699,0.0,0.0,4000.0,6000.0
5,45032,1792.0,3982.0,257.0,235.0,1812.5,4031.25,0.9863418936729431,0.9849867820739746,0.0,0.0,4000.0,6000.0
6,43653,1009.0,3190.0,258.0,227.0,1062.5,3281.25,0.9863166213035583,0.9853978157043457,0.0,0.0,4000.0,6000.0
7,2081763,0.0,4978.0,3999.0,1021.0,3812.5,5531.25,0.9861581325531006,0.9690034985542297,0.0,0.0,4000.0,6000.0
8,44963,1570.0,2673.0,267.0,210.0,1687.5,2718.75,0.9859911799430847,0.9863277077674866,0.0,0.0,4000.0,6000.0
9,139389,1593.0,54.0,373.0,383.0,1937.5,281.25,0.9853610396385193,0.9859693050384521,0.0,0.0,4000.0,6000.0
10,138225,1131.0,54.0,368.0,825.0,1437.5,281.25,0.9852367043495178,0.9853357076644897,0.0,0.0,4000.0,6000.0
11,137980,674.0,55.0,361.0,474.0,687.5,281.25,0.9850361347198486,0.9850996732711792,0.0,0.0,4000.0,6000.0
12,50126,2508.0,4230.0,297.0,214.0,2687.5,4406.25,0.9849905371665955,0.9829851388931274,0.0,0.0,4000.0,6000.0
13,144599,2529.0,54.0,385.0,475.0,2562.5,281.25,0.9849783182144165,0.9859964847564697,0.0,0.0,4000.0,6000.0
14,715304,0.0,4394.0,1623.0,1083.0,1562.5,5343.75,0.9845718145370483,0.9802653193473816,0.0,0.0,4000.0,6000.0
15,141791,2054.0,53.0,385.0,805.0,2312.5,281.25,0.9840151071548462,0.9831982851028442,0.0,0.0,4000.0,6000.0
16,46691,1157.0,4371.0,257.0,228.0,1187.5,4406.25,0.9838789701461792,0.9825101494789124,0.0,0.0,4000.0,6000.0
17,137492,218.0,55.0,360.0,389.0,437.5,281.25,0.9838364720344543,0.9865238666534424,0.0,0.0,4000.0,6000.0
18,50407,2329.0,2951.0,294.0,222.0,2437.5,3093.75,0.9837964177131653,0.9813241958618164,0.0,0.0,4000.0,6000.0
19,140927,1601.0,53.0,838.0,808.0,2437.5,281.25,0.9837912321090698,0.9809057116508484,0.0,0.0,4000.0,6000.0
20,713689,0.0,4974.0,1623.0,503.0,1437.5,5343.75,0.9837088584899902,0.9800096750259399,0.0,0.0,4000.0,6000.0
21,137959,674.0,55.0,361.0,806.0,687.5,93.75,0.9835664629936218,0.9818168878555298,0.0,0.0,4000.0,6000.0
22,137371,2502.0,1018.0,377.0,457.0,2812.5,1218.75,0.9834377765655518,0.9763035774230957,0.0,0.0,4000.0,6000.0
23,137485,218.0,55.0,360.0,825.0,312.5,281.25,0.9833773374557495,0.9872898459434509,0.0,0.0,4000.0,6000.0
24,54710,2604.0,3444.0,231.0,976.0,2687.5,3468.75,0.9833272099494934,0.9855177402496338,0.0,0.0,4000.0,6000.0
25,6617967,0.0,0.0,3149.0,2173.0,62.5,1968.75,0.983219563961029,0.9927283525466919,0.0,0.0,4000.0,6000.0
26,130381,674.0,455.0,355.0,542.0,687.5,843.75,0.9830423593521118,0.9821327924728394,0.0,0.0,4000.0,6000.0
27,45608,756.0,3985.0,258.0,257.0,937.5,4031.25,0.9828025698661804,0.9760795831680298,0.0,0.0,4000.0,6000.0
28,134800,2489.0,1492.0,374.0,446.0,2812.5,1593.75,0.9824918508529663,0.9817361235618591,0.0,0.0,4000.0,6000.0
29,132768,1111.0,1472.0,360.0,450.0,1437.5,1593.75,0.9820813536643982,0.9616026282310486,0.0,0.0,4000.0,6000.0
30,137933,2516.0,541.0,378.0,459.0,2687.5,656.25,0.9817319512367249,0.9827249050140381,0.0,0.0,4000.0,6000.0
31,134025,1584.0,537.0,370.0,373.0,1937.5,656.25,0.9816158413887024,0.9811461567878723,0.0,0.0,4000.0,6000.0
32,135769,2023.0,1394.0,375.0,544.0,2312.5,1593.75,0.9814528226852417,0.9731267690658569,0.0,0.0,4000.0,6000.0
